Reservoir,Station,Date,Measure,TimeOfDay,Value,Unit,Season
Токтогульское вдхр.,,2022-04-01,приток,сред.,173.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-01,попуск,сред.,129.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-01,объем,сред.,7851.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-04-01,Сброс,сред.,189.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-01,приток,сред.,536.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-01,приток,утро,581.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-01,попуск,сред.,920.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-01,попуск,утро,920.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-01,расход,сред.,908.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-01,расход,утро,903.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-01,объем,сред.,3320.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-04-01,приток,сред.,1144.2,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-04-01,приток,сред.,1298.2,м³/с,вегетация
Шардаринское вдхр.,,2022-04-01,попуск,сред.,995.0,м³/с,вегетация
Кызылкумский канал,,2022-04-01,расход,сред.,100.0,м³/с,вегетация
Шардаринское вдхр.,,2022-04-01,объем,сред.,5002.0,млн м³,вегетация
Чарвакское вдхр.,,2022-04-01,приток,сред.,103.0,м³/с,вегетация
река Угам,,2022-04-01,расход,сред.,24.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-01,попуск,сред.,54.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-04-01,расход,сред.,113.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-01,объем,сред.,643.0,млн м³,вегетация
Андижанское  вдхр.,,2022-04-01,приток,сред.,108.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-01,попуск,сред.,18.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-01,объем,сред.,1062.0,млн м³,вегетация
г/п Учтепа,,2022-04-01,расход,сред.,129.0,м³/с,вегетация
г/п Каль,,2022-04-01,расход,сред.,342.0,м³/с,вегетация
г/п Каль,,2022-04-01,расход,утро,403.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-04-01,расход,сред.,319.22,м³/с,вегетация
г/п Кокбулак,,2022-04-01,расход,сред.,1100.0,м³/с,вегетация
г/п Келес,,2022-04-01,расход,сред.,44.2,м³/с,вегетация
Токтогульское вдхр.,,2022-04-02,приток,сред.,183.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-02,попуск,сред.,72.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-02,объем,сред.,7853.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-04-02,Сброс,сред.,97.0,м³/с,вегетация
